Market Name,Self Reported Tags
eCash,"['Hybrid - PoW & PoS', 'PoS', 'PoW', 'SHA-256', 'Platform', 'Store Of Value', 'Payments', 'Scaling', 'Governance']"
IOTA,['DAG']
Optimism,['Optimism Ecosystem']
Klaytn,['Platform']
Neo,"['Platform', 'Smart Contracts']"
Loopring,"['Decentralized Exchange (DEX) Token', 'DeFi', 'Zero Knowledge Proofs', 'Scaling', 'Smart Contracts', 'Wallet', 'AMM', 'DEX', 'Layer 2', 'Rollups', 'Red Packets ', 'Token']"
Osmosis,['Cosmos Ecosystem']
Zilliqa,"['Platform', 'Smart Contracts', 'Polychain Capital Portfolio', 'Metaverse', 'Kenetic Capital Portfolio']"
BinaryX,['MVB']
dYdX,"['DeFi', 'Derivatives', 'Zero Knowledge Proofs', 'Three Arrows Capital Portfolio', 'Paradigm Portfolio', 'Spartan Group']"
Stacks,"['Platform', 'Collectibles & NFTs', 'DeFi', 'Smart Contracts', 'Metaverse', 'Arrington XRP Capital Portfolio', 'Blockchain Capital Portfolio', 'DCG Portfolio', 'Fabric Ventures Portfolio', 'Hashkey Capital Portfolio', 'Huobi Capital Portfolio', 'USV Portfolio']"
MAGIC,['Metaverse']
Nexo,"['Services', 'Payments']"
Casper,"['Arrington XRP Capital Portfolio', 'Hashkey Capital Portfolio', 'OKEx Blockdream Ventures Portfolio']"
Arweave,"['Storage', 'Coinbase Ventures Portfolio', 'Arrington XRP Capital Portfolio', 'Blockchain Capital Portfolio', 'a16z Portfolio', 'Multicoin Capital Portfolio']"
Celo,['PoS']
Kava,"['DeFi', 'Binance Launchpad', 'Binance Labs Portfolio', 'Lending & Borrowing', 'Arrington XRP Capital Portfolio', 'Framework Ventures Portfolio', 'Hashkey Capital Portfolio']"
Holo,"['Platform', 'Storage']"
Astar,['OKEx Blockdream Ventures Portfolio']
Compound,"['DeFi', 'DAO', 'Yield Farming', 'Coinbase Ventures Portfolio', 'Three Arrows Capital Portfolio', 'Polychain Capital Portfolio', 'Lending & Borrowing', 'DragonFly Capital Portfolio', 'Alameda Research Portfolio', 'a16z Portfolio', 'Pantera Capital Portfolio', 'Paradigm Portfolio']"
Helium,"['USV Portfolio', 'Multicoin Capital Portfolio']"
Fetch.ai,"['Collectibles & NFTs', 'Binance Launchpad']"
Blur,['Collectibles & NFTs']
NEM,['PoI']
Decred,"['Hybrid - PoW & PoS', 'BLAKE256']"
Harmony,"['Platform', 'Scaling', 'Smart Contracts', 'Binance Launchpad', 'Binance Labs Portfolio', 'Hashkey Capital Portfolio', 'Harmony Ecosystem']"
