title,categories,url,responsibilities,qualifications,company name,description,education levels,has remote
"Security Engineer, VirusTotal","SOFTWARE_ENGINEERING, TECHNICAL_INFRASTRUCTURE_ENGINEERING",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckRzSXiftBGIqWOAuhXovIpxDAn3CPDi1YSiTgHUTKLV_EjsAbmRECfKZv6UqI6q1dlwXt_1-j8TGF5DHX8-GbD2YguGtE9Y-U28_fXBA00xizm3WEy7zOv5uS1efGQ%3D%3D_V2&jobTitle=Security+Engineer&loc=ES,"Develop technical solutions to help mitigate security vulnerabilities.
Advocate security and secure practices throughout VirusTotal.
Identify and develop technical solutions for our customer’s threat intelligence needs.
Research and analyze upcoming malicious trends.
Create and deliver technical materials to share in external presentations.","Minimum qualifications:
Master's degree in Engineering, Computer Science, or a technical related field or equivalent practical experience.

Experience analyzing and implementing security systems (e.g., access controls, engagement testing, web application security testing, vulnerability scanning, threat modeling, etc.).
Preferred qualifications:
Experience with one or more programming languages including but not limited to: C/C++, Go, Python, JavaScript.
Experience with delivering technical training in an instructor-led or video format.
Understanding of the current threat landscape including common attack types and malware capabilities.
Ability to perform security analysis.
Ability to speak and write in English fluently.",Google,"Our Security team works to create and maintain the safest operating environment for Google's users and developers. Security Engineers work with network equipment and actively monitor our systems for attacks and intrusions. In this role, you will also work with software engineers to proactively identify and fix security flaws and vulnerabilities.
VirusTotal is the interlinked, actionable, and closest to real-time crowd sourced threat intelligence platform on the planet. It equips security teams with comprehensive context and functionalities to protect their networks from cybersecurity threats.

Security teams are often confronted with an unknown file/URL/domain/IP address and asked to make sense of an attack. Through web-based interaction with VirusTotal, security analysts can build a picture of an incident, and then use the insights to neutralize other attacks.Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.",MASTERS_OR_EQUIVALENT,False
"Personnel Security Specialist, Google Cloud",TECHNICAL_SOLUTIONS,https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckU8IDvMYlwYdCecgqdmTf74sVjKsQNl16ABde-QiUptjEjoAbmRECSEWcs57mVO8RMFWrucpLZ7QIh47yRrcVreeNTFNVFRXFKWVAeTLgZ5a32XVoX_owh0I4Rmz_V2&jobTitle=Personnel+Security+Specialist&loc=US,"Maintain personnel security records and process a variety of security clearance actions as needed, ensuring that proper Industrial Security procedures are followed in accordance with the NISPOM (National Industrial Security Program Operating Manual), Intelligence Community Directives, and Google Public Sector.
Maintain databases for records of employee accesses, and incoming and outgoing classified visits related to classified visits.
Process cleared personnel adds, changes, or removals from various classified programs.
Coordinate with and assist personnel requiring clearance investigations, re-investigations, reviews, and submission of forms to government agencies.
Track deadlines for various clearance requirements and address needs prior to deadlines (e.g., required training, re-investigations).","Minimum qualifications:
Bachelor’s degree or equivalent practical experience.
2 years of experience working with personnel security records and other sensitive information.
Preferred qualifications:
Experience with industrial security program management systems (e.g., Access Commander, SIMS, ThreatSwitch, etc.).
Experience managing personnel security actions in support of user security guidance (USG) programs.
Experience working in a dynamic environment, taking initiative to identify, address needs, and process improvements.
Experience with security education, awareness, training actions, and tracking.
US Government Top Secret or Sensitive Compartmented Information Clearance with polygraph.
Experience with Industrial Security personnel requirements and procedures or personnel security requirements specific to U.S. intelligence agencies.",Google,"The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, businesses, educational institutions, and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As the Personnel Security Specialist, you will work with our cleared employee population to initiate and assist with actions that enable them to do their work optimally and without interruption. You will compile and provide metrics, maintain internal databases, assist in documenting security violations, and other actions. You will report to the Corporate Facilities Security Officer (FSO) and will assist the Corporate FSO and Compliance, Strategy, and Operations (CSO) in the development of long-range plans for the security department and its programs, and provide input on implementation of systems, processes, and procedures.Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.The US base salary range for this full-time position is $96,000-$146,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",BACHELORS_OR_EQUIVALENT,False
"Information Security Engineer, Waze",SOFTWARE_ENGINEERING,https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckaTH2fClw933dWSZFIMicBdL91p3LET5fycVy_KWoqQqEjsA85OaoNzGCK3ZqlpW8BBIkPli0hcZBl5-gK6D1uD8uv3PGszaTBeL-sASHEgEHjOdfT_xozuKp3Vj9Q%3D%3D_V2&jobTitle=Information+Security+Engineer&loc=US,"Perform or lead network and application-based testing.
Review design documents and completed implementations to identify potential vulnerabilities.
Advise and train partner development teams regarding secure development best practices.

Provide on-call Incident response to security incidents.
Act as a mentor and advocate for security best practices across Waze.","Minimum qualifications:
Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.
5 years of experience in enterprise or platform security engineering.
Experience in one or more coding languages (e.g., Java, C, Python, Go, etc.).
Preferred qualifications:
Experience with cloud-native software and orchestration stacks, such as server-less architectures, Kubernetes, etc.
Experience with both offensive (finding bugs, attacking systems, etc.) and defensive (engineering solutions, addressing root causes, etc.) security methods, and comfort finding the balance between those roles.
Experience with security reviews, testing, vulnerability analysis, finding/fixing security issues, etc.
Understanding of threat modeling and risk-based security assessments.
Ability to work with a broad range of tech stacks, including cloud-native architectures.",Google,"Our Security team works to create and maintain the safest operating environment for Google's users and developers. Security Engineers work with network equipment and actively monitor our systems for attacks and intrusions. In this role, you will also work with software engineers to proactively identify and fix security flaws and vulnerabilities.
As a Security Engineer, you will work in partnership with our development and product teams to ensure Waze's security. Your work will include both vulnerability mitigation and consultation with our partner teams. In addition, you will contribute to incident response and vulnerability management, through activities such as vulnerability identification and triage, remediation guidance, and digital forensics.  At Google, our users come first, and the Systems Infrastructure team is at the heart of that promise. We build the technologies that transform the way we think about doing business. Whether working on our cloud systems, researching the latest in computer technology or keeping Google's internal systems humming, Googlers and users alike rely on us to keep things running. We're back-end experts: protecting your privacy and ensuring your security.The US base salary range for this full-time position is $148,000-$230,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",BACHELORS_OR_EQUIVALENT,True
"Network Security Engineer, Google Enterprise Networking",NETWORK_ENGINEERING,https://www.google.com/about/careers/applications/signin?jobId=CiUAL2Fckdm7CnCFFCwtZa8lK00yTwaaEGosThoCgatmwysOheoDEjoA85OaoAzkXWnqYd8bGj9S8JGfHOY13HMRef48NMVkwUPsHFjW4-vI35l0_gwKhfsLlQyNkq53yHW0_V2&jobTitle=Network+Security+Engineer&loc=US,"Define and drive the implementation of security policies to ensure the security of the network.
Develop software for auditing and enforcing compliance with security policies.
Work with partner teams on global security issues, strategies, and roadmaps.
Escalate for Enterprise network security incidents.
Work with vendors and industry organizations on the development of new security capabilities.","Minimum qualifications:
Bachelor's degree in Computer Science, Electrical Engineering, a related technical field, or equivalent practical experience. 
3 years of experience in a network security engineering role in organizations with networks.
Experience building distributed security systems and available services.
Experience identifying and mitigating network security risks using threat modeling and other risk identification techniques.
Preferred qualifications:
Experience with routing, switching, and network security technologies and protocols.
Operational experience with routers, switches and firewalls.
Experience with data protection technologies including encryption, key management, data loss prevention, and hardware security modules.
Experience writing software in any one of the modern programming language such as Go, C++, C, or Python.
Experience identifying and mitigating network security risks using threat modeling and other risk identification techniques.",Google,"Google is proud to boast a network that provides service to millions of Internet users around the world. The Network Engineering team is responsible for operating that network reliably and at scale. As a member of the team, you have a direct impact on design and feature enhancements to keep our systems running smoothly. You also ensure that network operations are safe and efficient by monitoring network performance, coordinating planned maintenance, adjusting hardware components and responding to network connectivity issues. Google's complex network generates a constant stream of challenges which require you to continually be innovative with an evolving set of technologies. Keeping the network reliable ensures that our users stay connected with our suite of applications, products and services.
Google Enterprise Networking delivers an internal Enterprise network, providing global service to many users.  The team is responsible for network reliability and scalability, keeping all Google employees connected and productive. We do that by creating designs, selecting hardware, and developing software toolchains. We are responsible for all Google offices, data centers, and specialty spaces. You will help solve a constant stream of challenges with continuous innovation, using an evolving set of technologies. In this role, you will work on the enterprise infrastructure team defining security policies, performing security risk assessments, consulting on networking projects, managing security infrastructure, developing software for the automation of security tasks, and influencing the industry. You will solve large, strategic problems, transforming these complex problems into simple solutions. You will make data-driven optimizations, and resolve complex operational issues in production via improvements to designs, software, and processes.Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.Additional Information:The US base salary range for this full-time position is $114,000-$173,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",BACHELORS_OR_EQUIVALENT,False
"Staff Network Security Engineer, Google Enterprise Networking",TECHNICAL_INFRASTRUCTURE_ENGINEERING,https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckblIRz8VD6JWyMJwy2V4Oo8yEa4v06DVome1s7QxGtMkEjoA85OaoMeSGiYDXLzQLfxK21fji7P6-VpaKmdlSyStbOpsh4EI3vjxuUBF18aoFg-6QF_W8C1co5Jw_V2&jobTitle=Staff+Network+Security+Engineer&loc=US,"Develop and implement network security strategies, policies, and procedures to ensure the security of the network including Risk identification and reduction.
Perform security reviews and audits to help Google’s distributed engineering organization with network security issues.
Provide analysis and recommendations for the evolution and enhancement of Google’s network security.
Function as technical, engineering, and operational subject matter expert for network security by participating in the rotating on call schedule and acting as third tier escalation.
Work with vendors, industry organizations, and partner teams on the development of new security capabilities, company-wide security issues, strategies and road maps.","Minimum qualifications:
Bachelor's degree in a technical discipline or equivalent practical experience.
10 years of experience in a network security role in organizations with networks.
Experience with data protection technologies including encryption, key management, data loss prevention, and hardware security modules.
Experience in designing, analyzing, and troubleshooting network and security systems.
Preferred qualifications:
Experience or interest in security beyond networking (i.e., systems, physical, etc.).
Experience working in network standards forums like Open Config and/or Streaming Telemetry.
Experience writing software in one modern programming language such as Go, C++, C, or Python.
Experience with routing, switching, and network security technologies and protocols.
Operational experience with routers, switches and firewalls.
Systematic problem-solving approach, coupled with strong communication skills, a sense of ownership and drive.",Google,"Google is proud to boast a network that provides service to millions of Internet users around the world. The Network Engineering team is responsible for operating that network reliably and at scale. As a member of the team, you have a direct impact on design and feature enhancements to keep our systems running smoothly. You also ensure that network operations are safe and efficient by monitoring network performance, coordinating planned maintenance, adjusting hardware components and responding to network connectivity issues. Google's complex network generates a constant stream of challenges which require you to continually be innovative with an evolving set of technologies. Keeping the network reliable ensures that our users stay connected with our suite of applications, products and services.
In this role, you will protect Google's services against malicious attacks and vulnerabilities in the networking space. You will be working closely with experienced network engineers, software engineers, and security architects to provide a comprehensive approach in support of our security policies and will draft and implement further policies and build new services as needed. Google's complex network generates a constant stream of challenges which require you to continually be innovative with an evolving set of technologies. In short, never a dull moment working in the network security space.Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.The US base salary range for this full-time position is $159,000-$252,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",BACHELORS_OR_EQUIVALENT,False
"Security Engineering Intern, Summer 2023",BUSINESS_STRATEGY,https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckRCf_46w06jjnWw-S_Ux7zAAzOnKBzaRjddXloXyVKXyEjoA85OaoHsebJvpPAf01vBgEcj4ePgmnnZ8-ggy734j4eLPwwb9GkGTsnSwS7bUPZAm7MSi19l3ha0q_V2&jobTitle=Security+Engineering+Intern&loc=US,"Apply knowledge gained in computer science courses to real-world challenges.
Analyze information and evaluate results to choose the best solution to effectively solve challenges.
Develop scripts to automate routine tasks.
Create and support a productive and innovative team. This includes working with peers, managers, and teams.","Minimum qualifications:
Currently pursuing a Bachelor's or Master's degree in Computer Science, Information Security, or related technical field
Coding experience with one or more of the following: Python, Go, C++, JavaScript
Experience in one or more of the following: network protocols, secure network design, web application/browser security, authentication control, applied cryptography/security protocols, intrusion detection
Preferred qualifications:
Currently attending a degree program in the US with plans to return to the degree program after completion of the internship.
Available to work full time for a minimum of 12 weeks outside of university term time.
Understanding of technical privacy issues and experience with the software development lifecycle.
Excellent communication skills",Google,"As a Security Engineer Intern, you help protect network boundaries, keep computer systems and network devices hardened against attacks and provide security services to protect highly sensitive data like passwords and customer information. Security Engineers work with a broad range of devices, actively monitoring our systems for attacks and intrusions. We focus on the offensive/testing side and work with software engineers to proactively identify and fix security flaws and vulnerabilities. We also build tools, scripts and other automation to help our project teams achieve Google-scale impact.Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to address some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.The US base salary range for this full-time position is $85,000-$110,000. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.","BACHELORS_OR_EQUIVALENT, MASTERS_OR_EQUIVALENT",True
"Android Security Operations Analyst, Trust and Safety",BUSINESS_STRATEGY,https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckYj5TLukWLp1B20Kj4DcROCBPCgnDuZnt-jkkn5uxWELEjsAbmRECUAB70uuBw9hxhU-w01jQ_YVgJ4GvPiPgLLBcBexjRsVTfJESlCgtj48URN_89poonISyATkWg%3D%3D_V2&jobTitle=Android+Security+Operations+Analyst&loc=US,"Manage sensitive security workflows.
Collaborate with cross-functional teams across Legal, Communications, PR, Trust and Safety (T&S) teams, Engineering teams, and Public Policy to resolve security issues/escalations. Build close relationships with T&S teams covering different Google products, including regular syncs to understand latest security trends.
Lead cross-functional response to particularly sensitive, high priority threats, including sending executive communications, leading meetings with executive stakeholders, driving towards decision-making across teams, and centralizing information from different sources
Assist in conducting post-mortems and incident reviews to capture lessons-learned and needed improvements to existing policy or enforcement processes. Manage multiple interdependent projects of moderate-high complexity and scope. 
Review or be exposed to sensitive content as part of core role. Participate in on call rotation to manage high priority escalations.","Minimum qualifications:
Bachelor’s degree or equivalent practical experience.
10 years of experience in developer support, policy enforcement, security programs, operations consulting, security research/analysis, malware analysis, or abuse detection. 
Preferred qualifications:
Ability to lead stakeholders and drive consensus across all experience levels.
Ability to work well in complex, fast-paced environments.
Ability to take initiative and work to build more effective/efficient security operations function.
Excellent communication skills, with the ability to work successfully in cross-functional teams, including with executive stakeholders.
Ability to work non-standard hours, including working weekends, holidays, and on shift-based schedules as needed to support incidents and escalations.",Google,"As the Security Operations Analyst, you will be a part of a global team working to ensure that security workflows in the realm of user protection are managed effectively, with minimal impact on our business, users, or brand. You’ll be working across various teams within Trust and Safety, Public Policy, Engineering, Legal, Communications, and PR to resolve standard escalations. You will lead highly sensitive, high priority projects that pose a high level of threat to Google and our users, which will involve real-time problem-solving, managing executive stakeholders, and driving decision-making with minimal supervision. You will build close relationships with other security and escalation management teams across Trust and Safety, including working with stakeholders to implement consistent security standards and processes.At Google we work hard to earn our users’ trust every day. Trust & Safety is Google’s team of abuse fighting and user trust experts working daily to make the internet a safer place. We partner with teams across Google to deliver bold solutions in abuse areas such as malware, spam and account hijacking. A diverse team of Analysts, Policy Specialists, Engineers, and Program Managers, we work to reduce risk and fight abuse across all of Google’s products, protecting our users, advertisers, and publishers across the globe in over 40 languages.The US base salary range for this full-time position is $153,000-$241,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",BACHELORS_OR_EQUIVALENT,False
"Senior Network Security Engineer, Google Enterprise Networking",TECHNICAL_INFRASTRUCTURE_ENGINEERING,https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckfvvsTWK1V23LBvoIlfe9NN0L00HVfwspurwUzwHhg1lEjsA85OaoAAytOcCrw4yIuHd8Cmc4DcY-TkZ9KesVrn0INJamo8dN8efd9I8jO9NusoZeHuflHTdY-SlrQ%3D%3D_V2&jobTitle=Senior+Network+Security+Engineer&loc=US,"Develop and implement network security strategies, policies, and procedures to ensure the security of the network including risk identification and reduction.
Perform security reviews and audits to help Google distributed engineering organizations with network security issues.
Provide analysis and recommendations for the evolution and enhancement of Google network security.
Function as technical, engineering, and operational subject matter expert for network security by participating in the rotating on call schedule and acting as third tier escalation.
Work with vendors, industry organizations, and partner teams on the development of new security capabilities, company-wide security issues, strategies, and road maps.","Minimum qualifications:
Bachelor's degree in Computer Science, Electrical Engineering, a related technical field, or equivalent practical experience.
7 years of experience in a network security role in organizations with wide networks.
Experience in data protection technologies including encryption, key management, data loss prevention, and hardware security modules.
Experience in designing, analyzing, troubleshooting networks and security systems.
Preferred qualifications:
Experience working in network standard forums like Open Config or Streaming Telemetry.
Experience in routing, switching and network security technologies and protocols.
Experience in security beyond networking (i.e., systems, physical, etc.).
Experience writing software in one or more programming languages such as Go, C++, C, or Python.
Experience in operations with routers, switches, and firewalls.
Excellent problem-solving and communication skills.",Google,"Google is proud to boast a network that provides service to millions of Internet users around the world. The Network Engineering team is responsible for operating that network reliably and at scale. As a member of the team, you have a direct impact on design and feature enhancements to keep our systems running smoothly. You also ensure that network operations are safe and efficient by monitoring network performance, coordinating planned maintenance, adjusting hardware components and responding to network connectivity issues. Google's complex network generates a constant stream of challenges which require you to continually be innovative with an evolving set of technologies. Keeping the network reliable ensures that our users stay connected with our suite of applications, products and services.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.The US base salary range for this full-time position is $134,000-$208,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",BACHELORS_OR_EQUIVALENT,False
"Cloud Security Manager, Professional Services",TECHNICAL_SOLUTIONS,https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckbjJ-y3Bh_0jraCU9DBdu1XIhUF5-EE0QMigLnx4xapREjsAbmRECTCSEimyyvHfdMOnvqlTSgKqboKkBzuSGl6NTnPYORPHbwwtoZJA0MGcFH2R0lxWxzs7vtCWbg%3D%3D_V2&jobTitle=Cloud+Security+Manager&loc=US,"Manage, expand, and scale a team of security architects and engineers.
Provide domain expertise in cloud security and compliance, and be a trusted technical advisor to customers. Solve cloud security and compliance challenges.
Work with customers to design and develop cloud security architectures and solutions to meet and exceed their security requirements, through discussions, strategic presentations or recommendations, and implementation in Google Cloud environment.
Create and deliver best practices recommendations, tutorials, blog articles, sample code, and technical presentations adapting to different levels of business and technical stakeholders.
Manage disparate executive stakeholders within customer environments to deliver consensus and lead positive customer outcomes on the Google Cloud platform.","Minimum qualifications:
 Bachelor's degree in Computer Science, Cyber Security, Information Technology, a related technical field, or equivalent practical experience.
6 years of experience performing customer-facing services, with a Cloud Security focus.Experience managing, scaling, and mentoring technical teams for a distributed organization.
Ability to travel 30% of the time as required.
Preferred qualifications:
Experience in technical consulting and working with cross-functional teams and customers.
Experience in Cloud Security delivered within the context of internal or customer facing roles.
Experience in recruiting and managing a team of experienced engineers on projects.
Ability to prioritize and manage across multiple time-sensitive initiatives.
Excellent organizational, communication, and leadership skills.",Google,"As a Cloud Security Manager, you'll lead a team to provide technical guidance to customers adopting Google Cloud Platform services. You will provide best practices on secure foundational cloud implementations, automated provisioning of infrastructure and applications, cloud-ready application architectures, and more. You'll ensure that customers are assisted in migrating, building, modernizing, and maintaining applications in Google Cloud Platform.This role will provide thought leadership and operate with a high degree of autonomy and visibility as part of our worldwide Professional Service Organization (PSO) specialist team. Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.The US base salary range for this full-time position is $162,000-$257,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",BACHELORS_OR_EQUIVALENT,False
"Security Manager, Data Center",DATA_CENTER_OPERATIONS,https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckQbLqGPJE8jXmTWjkQPjsK3aiwqYT1KZhdf690eTZ3BCEjsAbmRECQBp8Uoj3QuUIjuTyor2phsB-OVMDRT5qIyTYeIKnARwVGbPWGN7RWk-XYS5eGk9jX_tAIvBpA%3D%3D_V2&jobTitle=Security+Manager&loc=GB,"Develop and implement corporate security standards, policies, and practices to make continual improvements and increase the effectiveness of the security program.

Conduct awareness training, risk assessments, and monitor local and regional challenges.
Review, audit, and enforce security design elements for all new data center construction on location.
Partner closely and consult with Facility and Operations Management. Liaise with public safety to ensure excellent community relations and training synergies.
Oversee management of security vendors, providing guard staffing, and manage the budget for all security services on location. Assist in coordination of security services to support planned and unplanned operations.","Minimum qualifications:
Bachelor's degree or equivalent practical experience.
Experience managing technical and non-technical groups to drive business outcomes.
Experience with security technologies, including CCTV, Access Control, Incident Management Systems, and Security Operations Centers.
Preferred qualifications:
Bachelor's degree in Criminal Justice or a related field.
Experience in conducting investigations, including criminal, human resources, and safety incidents.
Experience in data center and security system elements of design.
Experience in working on active construction sites and providing safety/security countermeasures.
Ability to multitask in a fast-paced environment.
Excellent written and verbal communication skills.",Google,"The Global Data Center Security team operates secure data centers across the world, through a scalable, holistic, and efficient physical security program. It is our goal to bring dynamic, innovative, and functional security solutions to the data center environment.In this role, you will be in charge of managing security vendors and budgeting for security services on location. You'll collaborate with other Google business units to implement security policy, investigate violations, and resolve security concerns at the data center. You will manage active security incidents, respond to all critical events, and liaise with public safety.Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.",BACHELORS_OR_EQUIVALENT,True
